Authors;Articles;Articles Fractionalized
PANG W;1;0,07
PANG Y;1;0,1
PANIER H;1;0,05
PANKUWEIT S;1;0,06
PANNARAJ P;1;0,08
PANZA A;1;0,06
PAOLI L;1;0,14
PAOLINI A;1;0,11
PAPADOPOULOS C;1;0,14
PARDINI B;1;0,08
PARDO-CACHO J;1;0,13
PARDO-LÓPEZ L;1;0,07
PARFREY L;1;0,05
PARIANTE C;1;0,03
PARIDA L;1;0,13
PARISI S;1;0,07
PARK D;1;0,25
PARK M;1;0,08
PARK Y;1;0,08
PARKER L;1;0,08
PARKS D;1;0,14
PARMAR P;1;0,03
PARTIDA-MARTÍNEZ L;1;0,07
PASCAL A V;1;0,2
PASETTI M;1;0,06
PASTOR-IBÁÑEZ R;1;0,13
PATALANO S;1;0,13
PATERNITI I;1;0,11
PATIBANDLA C;1;0,06
PATIÑO-NAVARRETE R;1;0,07
PATO M;1;0,1
PATTERSON B;1;0,09
PATUMCHAROENPOL P;1;0,14
PATURSSON P;1;0,1
PATUZZI I;1;0,09
PAUL D;1;0,33
PAUL R R;1;0,1
PAULSEN I;1;0,2
PAULSON J;1;0,05
PAVLICK A;1;0,13
PAVLOPOULOS G;1;0,13
PAZIENZA V;1;0,08
PAËS C;1;0,06
PEACHEY L;1;0,14
PEANO C;1;0,06
PEEK R;1;0,13
PEEL N;1;0,08
PEI T;1;0,13
PEI Z;1;0,06
PELL N;1;0,05
PELLANDA P;1;0,11
PELLEAGRINI M;1;0,07
PELLEGATTA F;1;0,06
PELLOCK S;1;0,09
PELÁEZ C;1;0,2
PENG A;1;0,14
PENG G;1;0,09
PENG H;1;0,11
PENG J;1;0,11
PENG L;1;0,03
PENG Q;1;0,07
PENG S;1;0,13
PENG T;1;0,07
PENG Z;1;0,06
PENNINGTON J;1;0,13
PENNINX B;1;0,03
PENSA R;1;0,08
PEPOYAN A;1;0,11
PERDEW G;1;0,14
PEREIRA B;1;0,17
PEREIRA D L J;1;0,13
PEREIRA G;1;0,07
PEREIRA P;1;0,25
PEREIRA U;1;0,07
PEREZ D;1;0,1
PEREZ-CRUZ C;1;0,33
PEREZ-PARDO P;1;0,11
PERMIAKOVA O;1;0,25
PERRI F;1;0,06
PERTHAME E;1;0,07
PESOA S;1;0,17
PESSION A;1;0,1
PETERS B;1;0,08
PETERS D;1;0,17
PETERS S;1;0,02
PETERSEN A;1;0,08
PETERSON S;1;0,13
PETERSON V;1;0,11
PETRACCHINI S;1;0,07
PETRAK F;1;0,13
PETRIE K;1;1
PETRIGNANI I;1;0,11
PEVZNER P;1;0,13
PEYRET P;1;0,17
PEZZELLA V;1;0,06
PEÑA-OCAÑA B;1;0,11
PHAM H;1;0,08
PHAM T;1;0,14
PHAN N;1;0,2
PHILIP V;1;0,06
PHILLIPS S;1;0,08
PHUNG L;1;0,07
PI G;1;0,08
PIARROUX R;1;0,08
PIAZUELO M;1;0,13
PIBLE O;1;0,02
PICCHIANTI-DIAMANTI A;1;0,08
PICCIO L;1;0,05
PICHLER M;1;0,07
PIELLA G;1;0,03
PIENING B;1;0,05
PIESSEVAUX H;1;0,09
PIETILÄ S;1;0,11
PIETRUSZKA B;1;0,03
PIKE L;1;0,06
PIMENOFF V;1;0,1
PINDAK D;1;0,08
PINHOLT M;1;0,08
PINTO-CARDOSO S;1;0,07
PIQUENOT J;1;0,13
PIRES M;1;0,2
PISANU S;1;0,08
PIWOWARSKI J;1;0,17
PLANA M;1;0,13
PLANTINGA A;1;0,07
PLAZA-ANDRADES I;1;0,11
PLETT-TORRES T;1;0,08
PLICHTA D;1;0,09
PLOMP N;1;0,08
PLUMEIER I;1;0,08
PODAR M;1;0,06
POITOU C;1;0,05
POLACK B;1;0,13
POLAK P;1;0,11
POLLET T;1;0,13
POLUEKTOVA E;1;0,2
POLYAKOVA S;1;0,17
PONS X;1;0,06
PONZO V;1;0,07
POON P;1;0,07
POPE P;1;0,05
POPLUECHAI S;1;0,13
POPPITT S;1;0,08
POROIKOV V;1;0,17
POROLLO A;1;0,5
PORTELA N;1;0,17
PORTER N;1;0,5
POSMA J;1;0,04
POTDAR R;1;0,06
POTHIER J;1;0,33
POTOCKI-VERONESE G;1;0,25
POTTHOFF A;1;0,08
POULET L;1;0,13
POWELL N;1;0,2
POYNTER L;1;0,04
PRABHU P;1;0,2
PRADO-VIVAR B;1;0,11
PRANADINATA R;1;0,14
PRASAD T;1;0,09
PRATTICHIZZO F;1;0,11
PREMKRISHNAN B;1;0,08
PREVEL R;1;0,13
PRICE N;1;0,05
PRIOULT G;1;0,17
PUENTE J;1;0,07
PUIGBO P;1;0,14
PURBOJATI R;1;0,08
PURKAIT D;1;0,33
PUTRA A;1;0,08
PÉREZ-MOLINA J;1;0,06
PÉREZ-VIZCAÍNO F;1;0,07
PÖLING J;1;0,06
QI B;1;0,07
QI F;1;0,06
QI H;1;0,05
QIAN G;1;0,08
QIAN J;1;0,2
QIAN P;1;0,08
QIAN W;1;0,13
QIAN Y;1;0,06
QIAO L;1;0,08
QIAO M;1;0,05
QIAO S;1;0,14
QIAO W;1;0,05
QIE J;1;0,08
QIN D;1;0,08
QIN G;1;0,11
QIN Z;1;0,14
QIU C;1;0,1
QIU J;1;0,17
QIU Y;1;0,07
QU L;1;0,1
QU S;1;0,07
QU W;1;0,14
QU Y;1;0,11
QUAN M;1;0,2
QUAN Q;1;0,13
QUAN Y;1;0,2
QUARESHY M;1;0,33
QUE Y;1;0,07
QUEIPO-ORTUÑO M;1;0,11
QUEIRO-SILVA R;1;0,11
QUEIROS P;1;0,02
QUIJADA N;1;0,06
QUINCE C;1;0,06
QUINLAN M;1;0,09
QUINLAN R;1;0,09
QUINONES S;1;0,07
QUIST S;1;0,13
QUOILIN C;1;0,14
QURAISHI M;1;0,07
RAANGS E;1;0,06
RABEN A;1;0,08
RABER H;1;0,08
RABINOWITZ K;1;0,08
RADVANSKÝ M;1;0,08
RAFFATELLU M;1;0,14
RAHIM J;1;0,11
RAHIMI F;1;0,07
RAHMAN G;1;0,09
RAHNAVARD A;1;0,05
RAI N;1;0,17
RAI S;1;0,17
RAINER F;1;0,07
RAINERI E;1;0,06
RAISINGANI A;1;0,07
RAITEN D;1;0,08
RAIZADA M;1;0,07
RAJA A;1;0,11
RAJAGOPALAN K;1;0,06
RAJAN J;1;0,03
RAJAO D;1;0,1
RAJAOFERA M;1;0,09
RAKOTONDRAINIPIANA M;1;0,05
RAKOTONDRANARY S;1;0,17
RAKOVA V;1;0,05
RALLIDIS L;1;0,08
RAM D;1;0,11
RAMER-TAIT A;1;0,09
RAMIREZ F L;1;0,07
RAMIREZ-PEDRAZA M;1;0,05
RAMÍREZ J;1;0,25
RAN R;1;0,33
RANDOLPH T;1;0,07
RANDREMANANA R;1;0,05
RANI A;1;0,2
RAO M;1;0,33
RAOULT D;1;0,1
RASHID F;1;0,2
RASMUSSEN S;1;0,09
RASMUSSEN T;1;0,09
RATKIN A;1;0,25
RATOVONAMANA Y;1;0,17
RATTAN P;1;0,5
RAVEL J;1;0,06
RAY N;1;0,2
RAYKO M;1;0,13
RAYNARD B;1;0,05
RAZIN S;1;0,08
RE M;1;0,08
REALMUTO C;1;0,07
REBAUDET S;1;0,08
REBRIKOV D;1;0,17
RECZKO M;1;0,13
REDAELLI M;1;0,14
REDINBO M;1;0,09
REED D;1;0,17
REED F;1;0,25
REICHL U;1;0,02
REINA O;1;0,05
REINHART J;1;0,17
REINTJES G;1;0,14
REIS R;1;0,1
REITMEIER S;1;0,08
REJÓN-ORANTES J;1;0,11
REMES-TROCHE J;1;0,1
REN B;1;0,05
REN F;1;0,11
REN G;1;0,07
REN J;1;0,08
REN L;1;0,13
REN T;1;0,09
REN W;1;0,2
REN Z;1;0,08
RENARD B;1;0,02
RENKO M;1;0,13
REQUENA T;1;0,2
REQUENA-LÓPEZ S;1;0,11
RESENDE A;1;0,33
RESENDIS-ANTONIO O;1;0,17
RESHEF L;1;0,08
RETTEDAL E;1;0,2
REUTER A;1;0,06
REY F;1;0,05
REY K;1;0,11
REYES L;1;0,07
REYMAN M;1;0,09
REYNA M;1;0,07
REZASOLTANI S;1;0,17
RHEINWALT K;1;0,05
RHIMI M;1;0,09
RHIMI S;1;0,09
RHYS-JONES D;1;0,11
RIBALDONE D;1;0,07
RIBEIRO R;1;0,08
RICH S;1;0,33
RICHARDSON D;1;0,17
RICHARDSON N;1;0,06
RICHEZ M;1;0,1
RIDLON J;1;0,11
RIED-LARSEN M;1;0,11
RIETJENS I;1;0,25
RIGATO F;1;0,14
RINALDI G;1;0,07
RINCÓN-ROSALES R;1;0,11
RIVAS A;1;0,11
RIVERA A;1;0,14
RIVERA-GUTIERREZ X;1;0,1
RIZZI A;1;0,2
ROBBINS A;1;0,25
ROBINSON K;1;0,2
RODE A;1;0,09
RODPAI R;1;0,13
RODRIGUEZ C;1;0,05
RODRIGUEZ-MORANTA F;1;0,1
RODRIGUEZ-MORATO J;1;0,11
RODRIGUEZ-PALACIOS A;1;0,07
RODRIGUEZ-R L;1;0,11
RODRIGUEZ-RAMOS J;1;0,08
ROEL-TOURIS J;1;0,2
ROGGENBECK B;1;0,25
ROH S;1;0,07
ROKKA A;1;0,11
ROLD L;1;0,09
ROMANO S;1;0,17
ROMANOVA T;1;0,17
RONG H;1;0,2
ROONEY C;1;0,5
ROPONEN M;1;0,04
ROSA B;1;0,07
ROSADO B;1;0,17
ROSATO R;1;0,07
ROSEN G;1;0,17
ROSENAU F;1;0,08
ROSENFELD C;1;0,08
ROSENTHAL S;1;0,33
ROSKES L;1;0,06
ROSS A;1;0,1
ROTHER K;1;0,33
ROTTA L;1;0,06
ROUAULT C;1;0,05
ROUHOLLAHI M M;1;0,11
ROWLAND M;1;0,09
ROY S;1;0,14
ROYO F;1;0,05
RU H;1;0,17
RUAN M;1;0,07
RUBBO P;1;0,05
RUBIN I;1;0,08
RUDIK A;1;0,17
RUEGGER P;1;0,13
RUFFIN M;1;0,33
RUIZ R;1;0,14
RUIZ-CABELLO J;1;0,07
RUNGE J;1;0,09
RUPPERT V;1;0,06
RUPPÉ E;1;0,09
RUSHBROOK S;1;0,2
RUSSELL D;1;0,06
RUTT L;1;0,06
RUUSKANEN S;1;0,14
RUÍZ-PÉREZ S;1;0,06
RUÍZ-VALDIVIEZO V;1;0,11
RYABTSEVA S;1;0,17
RYAN C;1;0,1
RÖHRIG B;1;0,13
RÜCK C;1;0,17
RÜHLEMANN M;1;0,05
SAAD M;1;0,11
SABAG-DAIGLE A;1;0,08
SABRAN M;1;0,25
SACK D;1;0,08
SADAGHIAN S M;1;0,08
SADAOW L;1;0,13
SADEGHI A;1;0,25
SADZEWICZ L;1;0,06
SAEED A;1;0,08
SAEKI T;1;0,1
SAFARI K;1;0,11
SAHU S;1;0,2
SAIKKONEN K;1;0,14
SAKANAKA M;1;0,07
SAKANASHI C;1;0,13
SAKAO S;1;0,06
SALAS-SALVADÓ J;1;0,05
SALAZAR G;1;0,11
SALEKEEN R;1;0,17
SALEMI S;1;0,08
SALERNO G;1;0,08
SALIBA A;1;0,08
SALIM F;1;0,25
SALO J;1;0,13
SALONEN A;1;0,08
SALONIEMI I;1;0,14
SALTER A;1;0,05
SALVADOR I;1;0,11
SALVIOLI S;1;0,05
SAMPOL E N;1;0,06
SAMPSON H;1;0,5
SANADA T;1;0,06
SANCHEZ J;1;0,08
SANCHEZ-ALCOHOLADO L;1;0,11
SANCHEZ-FLORES A;1;0,08
SANDERS E;1;0,09
SANDERS J;1;0,06
SANDHU H;1;0,06
SANDOVAL-VARGAS D;1;0,2
SANKARASUBRAMANIAN J;1;0,2
SANKE H;1;0,05
SANNA S;1;0,07
SANPOOL O;1;0,13
SANSONETTI P;1;0,05
SANTANIELLO A;1;0,02
SANTHI P;1;0,08
SANTIAGO-RODRIGUEZ T;1;0,5
SANTOS A;1;0,11
SANTOS N;1;0,08
SANTOS S;1;0,07
SANZ Y;1;0,03
SARATSIS A;1;0,14
SARGSIAN S;1;0,05
SARGSYAN D;1;0,13
SARIDAS F;1;0,13
SARIKONDA D;1;0,07
SARMA S;1;0,08
SARQUIS D;1;0,08
SARZI-PUTTINI P;1;0,07
SASAKI T;1;0,14
SASAKI Y;1;0,07
SATHITKOWITCHAI W;1;0,14
SATLIN M;1;0,05
SATO K;1;0,06
SATTIN E;1;0,09
SATYAM R;1;0,2
SAVARINO E;1;0,09
SAVIDGE T;1;0,09
SAVILOVA A;1;0,17
SAVOLAINEN O;1;0,1
SAVVA G;1;0,17
SAXENA R;1;0,2
SAYED I;1;0,14
SCHAID M;1;0,06
SCHALLERT K;1;0,02
SCHAUB B;1;0,04
SCHENK A;1;0,08
SCHEPERJANS F;1;0,25
SCHETT G;1;0,2
SCHIEBENHOEFER H;1;0,02
SCHIEFFER B;1;0,06
SCHIERDING W;1;0,05
SCHIERGENS T;1;0,08
SCHIERWAGEN R;1;0,05
SCHIRMER M;1;0,1
SCHLUNDT J;1;0,09
SCHMALTZ R;1;0,09
SCHMERBOECK B;1;0,07
SCHMIDT E;1;0,25
SCHMIDT N;1;0,13
SCHMITZ H;1;0,17
SCHNABL B;1;0,08
SCHNEIDER T;1;0,1
SCHOMBURG D;1;0,13
SCHOOF E;1;0,07
SCHOOTH L;1;0,05
SCHOTT E;1;0,13
SCHRAMM L;1;0,2
SCHRENZEL J;1;0,09
SCHULZ C;1;0,13
SCHWAGER E;1;0,05
SCHWALBE M;1;0,11
SCHWEITZER G;1;0,09
SCHÄPE S;1;0,02
SCHÜTTE K;1;0,13
SCIRÈ C;1;0,07
SCOTT A;1;0,04
SCUDERI S;1;0,11
SCZYRBA A;1;0,02
SEABOLT E;1;0,13
SEARS M;1;0,07
SEBERT S;1;0,03
SECOR E;1;0,13
SEDLACKOVA T;1;0,08
SEETHARAMAN J;1;0,17
SEGATA N;1;0,08
SEGUY D;1;0,05
SEHLI S;1;0,11
SEIBERT B;1;0,1
SEIFERT J;1;0,05
SEKINE A;1;0,06
SELA D;1;0,2
SELBERHERR E;1;0,06
SELMA-ROYO M;1;0,25
SELWAY C;1;0,33
SEN S;1;0,13
SENCHYNA F;1;0,17
SEO D;1;0,2
SEO H;1;0,08
SEONG H;1;0,08
SEONG J;1;0,04
SERGAKI C;1;0,11
SERGHIOU I;1;0,08
SERRANA J;1;0,14
SERRANO-VILLAR S;1;0,06
SETHI G;1;0,11
SEYED K N;1;0,08
SEYEDI S;1;0,11
SGRULLETTI M;1;0,08
SHAFFER M;1;0,08
SHAFRANSKAYA D;1;0,08
SHAH V;1;0,5
SHAHROKH S;1;0,17
SHAHZAD A;1;0,11
SHAMSADDINI A;1;0,08
SHAN C;1;0,17
SHANG L;1;0,25
SHANG M;1;0,08
SHANG P;1;0,14
SHANG Q;1;0,1
SHAO A;1;0,08
SHAO J;1;0,14
SHAO R;1;0,1
SHAO W;1;0,07
SHAO Y;1;0,06
SHAO Z;1;0,11
SHAPIRO B;1;0,33
SHAREEFDEEN H;1;0,5
SHARIF D;1;0,17
SHARMA A;1;0,2
SHARMA V;1;0,2
SHARON I;1;0,06
SHAROPOV F;1;0,11
SHARPTON T;1;0,17
SHE R;1;0,08
SHEH A;1;0,13
SHEN P;1;0,1
SHEN S;1;0,2
SHEN T;1;0,07
SHEN W;1;0,11
SHEN X;1;0,13
SHENG H;1;0,04
SHENG X;1;0,08
SHENG Y;1;0,17
SHEPHERD J;1;0,07
SHERCHAN S;1;0,07
SHERCHAND J;1;0,07
SHERCHAND S;1;0,07
SHI B;1;0,14
SHI C;1;0,05
SHI D;1;0,14
SHI G;1;0,09
SHI M;1;0,09
SHIGETA A;1;0,06
SHIN G;1;0,17
SHINE E;1;0,5
SHIOTANI A;1;0,11
SHKOPOROV A;1;0,11
SHMAKOV S;1;0,13
SHOJI H;1;0,06
SHOLI A;1;0,05
SHON W;1;0,17
SHPAK M;1;0,17
SHRESTHA D;1;0,07
SHRIVASTAVA R;1;0,2
SHU H;1;0,1
SHU Z;1;0,08
SHUKLA D;1;0,07
SHULZHENKO N;1;0,13
SHUNGIN D;1;0,1
SHUOKER B;1;0,07
SI G;1;0,17
SI W;1;0,08
SI Y;1;0,1
SIADAT S;1;0,11
SIAM M;1;0,17
SICHERER S;1;0,5
SIEBER M;1;0,33
SIEVER M;1;0,08
SIKAROODI M;1;0,08
SILACHEV D;1;0,05
SILVEIRA L;1;0,08
SILVESTRE M;1;0,08
SIMIONATI B;1;0,09
SIMONS E;1;0,07
SIMOPOULOS C;1;0,14
SIMPSON J;1;0,09
SIMRÉN M;1;0,1
SIMS I;1;0,11
SINGH A;1;0,2
SINGH M;1;0,17
SINGH S;1;0,02
SINGH V;1;0,17
SINGLETON R;1;0,07
SINGLETON S;1;0,13
SINHA T;1;0,07
SINIGAGLIA M;1;0,06
SINISCALCHI A;1;0,08
SIODA M;1;0,08
SIRAGUSA E;1;0,13
SKAR V;1;0,11
SKJAK-BRAEK G;1;0,13
SKONDRA D;1;0,25
SKOULAKIS E;1;0,13
SKURK T;1;0,08
SLUPSKY C;1;0,08
SMITH D;1;0,08
SMITH G;1;0,09
SMITH P;1;0,14
SMITH-BROWN P;1;0,25
SNYDER M;1;0,05
SO K;1;0,07
SOBERÓN X;1;0,07
SOH A;1;0,1
SOHN J;1;0,04
SOKHANSANJ B;1;0,17
SOKOLOVSKA N;1;0,25
SOLDEN L;1;0,08
SOLOMONS N;1;0,25
SOMAN K;1;0,02
SOMMER M;1;0,09
SOMMER S;1;0,17
SONG C;1;0,08
SONG G;1;0,07
SONG K;1;0,17
SONG L;1;0,07
SONG Q;1;0,14
SONG S;1;0,13
SONNENBURG J;1;0,08
SORDINO P;1;0,2
SORG T;1;0,03
SORGI M;1;0,08
SOROKIN A;1;0,33
SORRENTI V;1;0,25
SOTIRAKI S;1;0,14
SOTO-GIRON M;1;0,13
SOUAI N;1;0,09
SOUCEK P;1;0,04
SOUFI M;1;0,06
SOUSSOU S;1;0,09
SOVERINI M;1;0,17
SPACIL Z;1;0,11
SPELLERBERG B;1;0,08
SPICER P;1;0,07
SPICHAK S;1;0,14
SPIGA L;1;0,09
SPRIEWALD S;1;0,08
SRIPA B;1;0,14
STADLBAUER V;1;0,07
STAHL-HENNIG C;1;0,1
STAINS J;1;0,09
STAMATAKIS A;1;0,5
STAMPS B;1;0,2
STAPPENBECK T;1;1
STARES M;1;0,06
STARK K;1;0,07
STARR A;1;0,07
STATHOPOULOU P;1;0,09
STAUTEMAS J;1;0,11
STECHER B;1;0,08
STEENSEN K;1;0,2
STEIBER A;1;0,08
STEIN L;1;0,11
STEINBERG D;1;0,11
STEPHENSEN C;1;0,08
STERLING R;1;0,08
STEVENSON D;1;0,14
STEVENSON J;1;0,2
STEVES C;1;0,2
STEWART S;1;0,33
STIEGLER P;1;0,07
STOKHOLM J;1;0,09
STONELAKE A;1;0,07
STORME T;1;0,09
STRAIN C;1;0,09
STRAM D;1;0,07
STRONATI L;1;0,17
STRYCHARZ-ANGRECKA E;1;0,13
STRYECK S;1;0,07
STUPAK A;1;0,5
STÄRKEL P;1;0,09
SU C;1;0,06
SU D;1;0,17
SU L;1;0,08
SU M;1;0,1
SU Q;1;0,06
SU S;1;0,07
SU W;1;0,1
SU Z;1;0,04
SUBAS O;1;0,05
SUBBARAO P;1;0,07
SUBBIAH M;1;0,09
SUBRAMANIAN A;1;0,05
SUBRAMANIAN P;1;0,05
SUBRAMANIAPILLAI M;1;0,11
SUDA R;1;0,06
SUDA W;1;0,06
SUDHAKAR P;1;0,2
SUGIURA T;1;0,06
SUI Y;1;0,07
SUITS M;1;0,2
SUKHIKH G;1;0,05
SULAKVELIDZE A;1;0,17
SULERIA H;1;0,17
SULLIVAN D;1;0,17
SULTAN M;1;0,13
SUMNER L;1;0,08
SUN A;1;0,14
SUN K;1;0,07
SUN M;1;0,17
SUN P;1;0,11
SUN W;1;0,17
SUNDARARAJAN S;1;0,06
SUNDIN J;1;0,1
SUNG J;1;0,05
SUOMI T;1;0,11
SURATANNON N;1;0,14
SURESHCHANDRA S;1;0,13
SURETTE M;1;0,11
SUSOVA S;1;0,04
SUSSMAN D;1;0,14
SUTHANTHIRAN M;1;0,05
SUTHER C;1;0,05
SUTTNER B;1;0,11
SUWANDI A;1;0,1
SUWANNAHITATORN P;1;0,13
SUWEIS S;1;0,2
SUZUKI T;1;0,06
SUZUTANI T;1;0,1
SUÁREZ A;1;0,11
SUÑER C;1;0,05
SYKES L;1;0,08
SZAMOSI J;1;0,11
SZUBIN R;1;0,06
SÁNCHEZ B;1;0,11
SÁNCHEZ-CASTAÑEDA J;1;0,17
SÁNCHEZ-PALOMINO S;1;0,13
SÁYAGO-AYERDI S;1;0,11
TABETA K;1;0,06
TACKETT M;1;0,05
TAFT D;1;0,08
TAGELE S;1;0,08
TAGKOPOULOS I;1;0,17
TAGLIABUE C;1;0,08
TAGUER M;1;0,33
TAHMIN C;1;0,13
TAI W;1;0,07
TAJADURA-ORTEGA V;1;0,08
TAKAHASHI K;1;0,13
TAKAHASHI M;1;0,11
TAKAHASHI N;1;0,06
TAKATS Z;1;0,04
TAKEYAMA H;1;0,13
TALAVERA-RODRIGUEZ A;1;0,06
TALL T;1;0,14
TALLON L;1;0,06
TAM F;1;0,11
TAMBURINI F;1;0,17
TAN H;1;0,1
TAN J;1;0,14
TAN R;1;0,08
TAN S;1;0,11
TAN T;1;0,08
TAN Z;1;0,17
TANABE N;1;0,06
TANAKA K;1;0,1
TANDUKAR S;1;0,07
TANEMURA K;1;0,14
TANES C;1;0,13
TANG C;1;0,11
TANG H;1;0,06
TANG J;1;0,06
TANG L;1;0,14
TANG M;1;0,09
TANG Q;1;0,11
TANG S;1;0,14
TANG W;1;0,1
TANG X;1;0,09
TAO J;1;0,14
TAO X;1;0,06
TAPIAINEN T;1;0,13
TARALLO S;1;0,08
TARASKINA A;1;0,05
TARR P;1;0,05
TARTARI P;1;0,06
TARTIERE A;1;0,13
TASKAPILIOGLU O;1;0,13
TATARU C;1;0,5
TATSUMI K;1;0,06
TAUR Y;1;0,05
TAUSEEF I;1;0,13
TAUZIN A;1;0,25
TAVELLA T;1;0,05
TAY H;1;0,11
TAYLOR M;1;0,08
TAYLOR V;1;0,11
TEARE J;1;0,04
TEBANI A;1;0,05
TEE M;1;0,05
TEJADA G;1;0,05
TEJESVI M;1;0,13
TELALOVIC J;1;0,5
TENAILLON O;1;0,09
TENG L;1;0,06
TENG W;1;0,2
TENG Z;1;0,11
TEODORI L;1;0,11
TEOH S;1;0,1
TERGAST T;1;0,08
TERRACCIANO F;1;0,08
TESTO G;1;0,08
THAKKER V;1;0,06
THAN L;1;0,25
THANCHOMNANG T;1;0,13
THANISSERY R;1;0,14
THAPA S;1;0,09
THE V S G;1;0,09
THEODOROU V;1;0,06
THERIOT C;1;0,14
THIEL R;1;0,03
THIELE I;1;0,11
THIELEMANN R;1;0,14
THIEROFF-EKERDT R;1;0,14
THIJSSEN V;1;0,09
THINGHOLM L;1;0,05
THOMAS J;1;0,2
THOMAS M;1;0,05
THOMAS T;1;0,2
THOMAS-GAHRING A;1;0,13
THOME N;1;0,11
THOMPSON K;1;0,05
THOMSON N;1;0,08
THORAT A;1;0,06
THORSTENSEN E;1;0,05
THRASTARDOTTIR T;1;0,33
THUMBOO J;1;0,1
TIAN D;1;0,13
TIAN H;1;0,07
TIAN J;1;0,07
TIAN L;1;0,08
TIAN S;1;0,05
TIAN X;1;0,07
TIAN Y;1;0,14
TICA M;1;0,2
TICKLE T;1;0,05
TIEMEIER H;1;0,03
TILG H;1;0,25
TIMS S;1;0,13
TINAHONES F;1;0,05
TINCATI C;1;0,08
TINGLEY J;1;0,14
TITO R;1;0,07
TKACHENKO E;1;0,17
TOAL E;1;0,07
TOBIN N;1;0,08
TODDE V;1;0,2
TODOROV H;1;0,13
TOGO A;1;0,1
TOIVONEN R;1;0,11
TOKAREV V;1;0,07
TOLEDO G;1;0,13
TOLLEY C;1;0,07
TOLSTIKOV V;1;0,07
TOLSTOGANOV I;1;0,08
TOM W;1;0,09
TOMASULA P;1;0,13
TOMINAGA T;1;0,14
TOMIZAWA R;1;0,09
TOMSETT K;1;0,17
TONG C;1;0,07
TONG H;1;0,08
TONG P;1;0,08
TONG Y;1;0,2
TORRENTS D;1;0,13
TORRES J;1;0,07
TORRES L;1;0,05
TORRES N;1;0,07
TORRES-COLLADO L;1;0,05
TOSEVSKA A;1;0,08
TOUVREY-LOIODICE M;1;0,13
TOVO A;1;0,2
TRAKMAN G;1;0,05
TRAMPARI E;1;0,08
TRAN T;1;0,14
TRAPPE K;1;0,02
TRAULSEN A;1;0,33
TRAVERSA D;1;0,14
TREBICKA J;1;0,05
TREU L;1;0,11
TREZZI J;1;0,02
TRICARICO M;1;0,06
TRINH A;1;0,33
TRINH J;1;0,17
TRIPATHI A;1;0,08
TRISOLINI C;1;0,07
TRIVEDI U;1;0,11
TRONCOSO-CORZO L;1;0,07
TROPEA A;1;0,08
TROVAS G;1;0,08
TSAI J;1;0,25
TSAOUSIS A;1;0,13
TSATURYAN V;1;0,11
TSELEPIS C;1;0,07
TSIAMIS G;1;0,09
TSOUMTSA M L;1;0,07
TSUBOI Y;1;0,06
TSUI S;1;0,07
TSUZUNO T;1;0,06
TSYGANOV K;1;0,11
TU L;1;0,06
TU P;1;0,17
TU Q;1;0,13
TU Z;1;0,08
TUENTER E;1;0,11
TULCHINSKY H;1;0,08
TUN U;1;0,25
TUNCA B;1;0,13
TURAN O;1;0,13
TURCHINI G;1;0,11
TURKEZ H;1;0,05
TURNBAUGH P;1;0,2
TURVEY S;1;0,07
TYAKHT A;1;0,08
TYSON G;1;0,14
TÖRNBLOM H;1;0,1
TÜRAY S;1;0,14
TÜRKOGLU R;1;0,09
TÜZÜN E;1;0,09
UCHIDA A;1;0,08
UDIPI S;1;0,06
UGALDE J;1;0,17
UHLEN M;1;0,05
ULIANOV S;1;0,08
ULLOA-PÉREZ E;1;0,08
ULMANN G;1;0,05
ULYANTSEV V;1;0,08
UMEGAKI E;1;0,11
UNDERWOOD M;1;0,1
UNLU H;1;0,13
UPPADHYAYA N;1;0,14
UPRETY S;1;0,07
UR R H;1;0,13
USSOWICZ M;1;0,06
UTKALAJA B;1;0,2
UTRO F;1;0,13
UVA P;1;0,08
VAAG A;1;0,11
VAHJEN W;1;0,17
VALERO A;1;0,05
VALERO O;1;0,17
VALEUR J;1;0,11
VALLEJO A;1;0,06
VALLIER M;1;0,1
VAMANU E;1;0,17
VAN B D;1;0,09
VAN C P;1;0,5
VAN D J;1;0,06
VAN D W T;1;0,11
VAN H M;1;0,09
VAN H S;1;0,11
VAN R L;1;0,2
VAN S W;1;0,07
VAN T W;1;0,08
VAN W G;1;0,11
VANG A;1;0,1
VANNER S;1;0,17
VARDAKAS P;1;0,13
VASAPOLLI R;1;0,13
VASCELLARI S;1;0,08
VASIEVA O;1;0,33
VASILEIADIS S;1;0,14
VASILUEV P;1;0,08
VAZQUEZ-BAEZA Y;1;0,02
VECCHIO-PAGAN B;1;0,2
VEGA L;1;0,25
VEGA M;1;0,05
VELLUZZI F;1;0,08
VELOO A;1;0,07
VENEMA K;1;1
VENKATACHALAM A;1;0,09
VENKATESH S;1;0,07
VENTURELLI O;1;0,14
VERA M E;1;0,06
VERA-WOLF P;1;0,14
VERMA A;1;0,2
VERSCHAFFELT P;1;0,02
VEST N;1;0,1
VETTATH V;1;0,08
VIALE P;1;0,08
VICHASLIP T;1;0,13
VICIANI E;1;0,06
VICKERS M;1;0,05
VIDAL J;1;0,05
VIEIRA C;1;0,07
VIGANÒ I;1;0,14
VIGNOLI A;1;0,14
VIGUÉ L;1;0,09
VILCHEZ-VARGAS R;1;0,13
VILLADSEN A;1;0,09
VILLANUEVA Y;1;0,08
