Authors;Articles;Articles Fractionalized
BATTINO M;1;0,14
BATTISTA G;1;0,05
BAUMANN R;1;0,02
BAUMBACH J;1;0,08
BAYDAKOVA G;1;0,05
BAZHIN A;1;0,08
BAZZOCCHI A;1;0,05
BEALE A;1;0,08
BEALS J;1;0,09
BEAUMONT M;1;0,06
BECCUTI G;1;0,07
BECK P;1;0,06
BECKER A;1;0,07
BECKER M;1;0,08
BEDARF J;1;0,17
BEGGS A;1;0,07
BEITING D;1;0,05
BEL L P;1;0,05
BELDA E;1;0,05
BELHEOUANE M;1;0,1
BELLO G;1;0,08
BELOBORODOVA N;1;0,08
BELOTTI T;1;0,06
BENCA J;1;0,08
BENDER J;1;0,08
BENLER S;1;0,13
BENNET S;1;0,17
BENNETT P;1;0,08
BERARDINELLI G;1;0,1
BERBERT L;1;0,11
BERBISA M;1;0,1
BERCIK P;1;0,17
BERDING K;1;0,14
BERENDSEN A;1;0,03
BERGER P;1;0,13
BERKLEY J;1;0,13
BERNAL-LÓPEZ M;1;0,05
BERRIMAN M;1;0,07
BERTAZZO E;1;0,09
BEVILACQUA A;1;0,06
BEWICK S;1;0,2
BHADURI A;1;0,14
BHAR S;1;0,33
BHARDWAJ T;1;0,2
BHARWANI A;1;0,11
BI C;1;0,05
BI F;1;0,13
BIAN Y;1;0,06
BIELAK M;1;0,03
BIKEL S;1;0,25
BILLAH M;1;0,17
BINDELS L;1;0,09
BIRGY A;1;0,09
BISANZ J;1;0,5
BISCAGLIA G;1;0,06
BISGAARD H;1;0,09
BISHT V;1;0,14
BIVENS N;1;0,08
BIZZARRI M;1;0,2
BJOURSON A;1;0,25
BJØRKHAUG S;1;0,11
BLAIR R;1;0,06
BLEAZARD T;1;0,14
BLESL A;1;0,07
BLOKZIJL T;1;0,08
BLOOMFIELD F;1;0,2
BLOTTIÈRE H;1;0,13
BOACHIE-MENSAH M;1;0,25
BODENBERGER N;1;0,08
BOEREN S;1;0,25
BOERTIEN J;1;0,25
BOERWINKLE E;1;0,08
BOEY C;1;0,05
BOGAERT D;1;0,09
BOGI?EVI? B;1;0,17
BOHAC M;1;0,08
BOHAR B;1;0,2
BOHÓRQUEZ L;1;0,25
BOI F;1;0,08
BOKOLIYA S;1;0,05
BOLDING I;1;0,2
BOLYEN E;1;0,08
BOMHOLTZ L;1;0,17
BONACORSI S;1;0,09
BONCY J;1;0,08
BONNARDEL F;1;0,08
BONNET R;1;0,07
BOONROUMKAEW P;1;0,13
BORGHI E;1;0,14
BORNEMAN J;1;0,13
BORRELLI R;1;0,07
BORSINI A;1;0,03
BORSOM E;1;0,08
BORTON M;1;0,08
BOSCH A;1;0,09
BOSCH S;1;0,14
BOSE C;1;0,25
BOSE S;1;0,2
BOYER A;1;0,13
BRABEC J;1;0,07
BRAFF D;1;0,11
BRAMNESS J;1;0,11
BRANDI I;1;0,07
BRANDL B;1;0,08
BRANDT A;1;0,2
BRANDT C;1;0,07
BRASIER A;1;0,06
BRAUN T;1;0,06
